Receipt Date,Fee Note,Professional Client,Matter,Fee,VAT,Chambers Deduction,Net Paid
14/04/2025,FN-1001,Acme Solicitors LLP,Smith v Jones,"£12,000.00","£2,400.00","£1,800.00","£12,600.00"
02/05/2025,FN-1002,Brown & Co,Re: Estate of Patel,"£8,500.00","£1,700.00","£1,275.00","£8,925.00"
19/05/2025,FN-1003,CPS,R v Thompson,"£15,000.00","£3,000.00","£2,250.00","£15,750.00"
11/06/2025,FN-1004,Davies Legal,Highway Ltd dispute,"£6,000.00","£1,200.00","£900.00","£6,300.00"
03/07/2025,FN-1005,Acme Solicitors LLP,Garcia arbitration,"£9,500.00","£1,900.00","£1,425.00","£9,975.00"
21/07/2025,FN-1006,Evans Family Law,Re: M (children),"£11,000.00","£2,200.00","£1,650.00","£11,550.00"
08/08/2025,FN-1007,Brown & Co,Westfield boundary,"£7,000.00","£1,400.00","£1,050.00","£7,350.00"
16/09/2025,FN-1008,CPS,R v Okafor,"£13,500.00","£2,700.00","£2,025.00","£14,175.00"
07/10/2025,FN-1009,Davies Legal,Insolvency advice,"£5,500.00","£1,100.00","£825.00","£5,775.00"
24/11/2025,FN-1010,Acme Solicitors LLP,Pension dispute,"£10,000.00","£2,000.00","£1,500.00","£10,500.00"
12/12/2025,FN-1011,Evans Family Law,Financial remedy,"£8,000.00","£1,600.00","£1,200.00","£8,400.00"
20/01/2026,FN-1012,Brown & Co,Contract claim,"£14,000.00","£2,800.00","£2,100.00","£14,700.00"
13/02/2026,FN-1013,CPS,R v Lewis,"£9,000.00","£1,800.00","£1,350.00","£9,450.00"
24/03/2026,FN-1014,Davies Legal,Professional negligence,"£11,500.00","£2,300.00","£1,725.00","£12,075.00"
